uri,pref label,label,comment,domain,domain > uri,range,range > uri,sub class of,sub class of > uri,type,type > uri
http://education.data.gov.uk/def/school/Beacon_Learning_and_Skills_Beacon_Post_16_Education_Training,Learning and Skills Beacon (Post 16 Education & Training),Learning and Skills Beacon (Post 16 Education & Training),,,,,,,,,http://education.data.gov.uk/def/school/Beacon_TERM
http://education.data.gov.uk/def/school/Beacon_Learning_and_Skills_Beacon_Post_16_Education_Training,Learning and Skills Beacon (Post 16 Education & Training),Learning and Skills Beacon (Post 16 Education & Training),,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Beacon_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://education.data.gov.uk/def/school/Beacon_TERM
http://education.data.gov.uk/def/school/Beacon_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Beacon_TERM,,beacon terms,controlled terms for describing beacon,,,,,Concept,http://www.w3.org/2004/02/skos/core#Concept,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/Boarders_Boarding_School,Boarding School,Boarding School,,,,,,,,,http://education.data.gov.uk/def/school/Boarders_TERM
http://education.data.gov.uk/def/school/Boarders_Boarding_School,Boarding School,Boarding School,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Boarders_Children_s_Home_Boarding_School,Children's Home (Boarding School),Children's Home (Boarding School),,,,,,,,,http://education.data.gov.uk/def/school/Boarders_TERM
http://education.data.gov.uk/def/school/Boarders_Children_s_Home_Boarding_School,Children's Home (Boarding School),Children's Home (Boarding School),,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Boarders_No_Boarders,No Boarders,No Boarders,,,,,,,,,http://education.data.gov.uk/def/school/Boarders_TERM
http://education.data.gov.uk/def/school/Boarders_No_Boarders,No Boarders,No Boarders,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Boarders_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://education.data.gov.uk/def/school/Boarders_TERM
http://education.data.gov.uk/def/school/Boarders_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Boarders_TERM,,boarders terms,controlled terms for describing boarders,,,,,Concept,http://www.w3.org/2004/02/skos/core#Concept,,http://www.w3.org/2002/07/owl#Class
